Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A094YS33	unreviewed	Periplasmic heavy metal sensor	104102	Acetobacter tropicalis	164	PF13801	29..135
A0A094ZIV2	unreviewed	Periplasmic heavy metal sensor	104102	Acetobacter tropicalis	171	PF13801	11..140
A0A095APG8	unreviewed	Heavy metal resistance protein	1502850	Sphingopyxis sp. LC81	146	PF13801	12..130
A0A095B7E4	unreviewed	Heavy metal resistance protein	1120705	Sphingopyxis sp. LC363	146	PF13801	12..130
A0A095C7C7	unreviewed	Heavy metal resistance protein	1120705	Sphingopyxis sp. LC363	145	PF13801	12..129
A0A095D9T9	unreviewed	Heavy metal resistance protein	1502850	Sphingopyxis sp. LC81	145	PF13801	13..129
A0A095IMQ4	unreviewed	LTXXQ motif family protein	28450	Burkholderia pseudomallei	181	PF13801	8..140
A0A095SM66	unreviewed	Signaling pathway modulator ZraP	1177154	Alcanivorax nanhaiticus	110	PF13801	4..68
A0A099KA25	unreviewed	Signaling pathway modulator ZraP	28229	Colwellia psychrerythraea	152	PF13801	32..137
A0A099TBZ9	unreviewed	Periplasmic heavy metal sensor	1225651	Thalassobacter sp. 16PALIMAR09	161	PF13801	20..144
A0A0A0D9G6	unreviewed	Periplasmic heavy metal sensor	1398085	Inquilinus limosus MP06	141	PF13801	12..129
A0A0A0EGW6	unreviewed	Periplasmic heavy metal sensor	1461694	Pseudooceanicola atlanticus	167	PF13801	21..143
A0A0A0HLW9	unreviewed	Heavy-metal resistance	1288298	Roseovarius mucosus DSM 17069	167	PF13801	20..144
A0A0A1W602	unreviewed	Putative heavy metal resistance protein	1219049	Sphingomonas parapaucimobilis NBRC 15100	147	PF13801	10..131
A0A0A1YTY5	unreviewed	Signaling pathway modulator ZraP	1324332	Pseudomonas fluorescens LMG 5329	155	PF13801	12..137
A0A0A6CU73	unreviewed	Heavy metal resistance protein	104605	Sphingomonas sp. Ant20	143	PF13801	11..129
A0A0A6D1D6	unreviewed	Heavy metal resistance protein	104605	Sphingomonas sp. Ant20	146	PF13801	14..130
A0A0A6D4S6	unreviewed	Heavy metal resistance protein	104605	Sphingomonas sp. Ant20	146	PF13801	13..130
A0A0A6P5J1	unreviewed	Signaling pathway modulator ZraP	1003181	Candidatus Thiomargarita nelsonii	147	PF13801	13..130
A0A0A7A0H7	unreviewed	Zinc resistance-associated protein	754093	Shigella dysenteriae 1617	186	PF13801	55..167
A0A0A7PPV0	unreviewed	Heavy metal resistance protein	1515612	Sphingopyxis fribergensis	145	PF13801	11..128
A0A0A7PQ65	unreviewed	Heavy metal resistance protein	1515612	Sphingopyxis fribergensis	145	PF13801	12..129
A0A0B0Q5N8	unreviewed	Periplasmic heavy metal sensor	1565314	Sulfurospirillum sp. MES	125	PF13801	25..113
A0A0B1TTR9	unreviewed	Periplasmic heavy metal sensor	1562888	Desulfovibrio sp. TomC	157	PF13801	18..141
A0A0B1TUJ2	unreviewed	Periplasmic heavy metal sensor	1562888	Desulfovibrio sp. TomC	162	PF13801	5..129
A0A0B1TW06	unreviewed	Zinc resistance-associated protein	1562888	Desulfovibrio sp. TomC	158	PF13801	11..118
A0A0B1TWK6	unreviewed	Zinc resistance-associated protein	1562888	Desulfovibrio sp. TomC	149	PF13801	11..114
A0A0B1TWX2	unreviewed	Zinc resistance-associated protein	1562888	Desulfovibrio sp. TomC	154	PF13801	7..125
A0A0B1TY14	unreviewed	Zinc resistance-associated protein	1562888	Desulfovibrio sp. TomC	162	PF13801	8..126
A0A0B1U3I2	unreviewed	Periplasmic heavy metal sensor	1562888	Desulfovibrio sp. TomC	166	PF13801	13..128
A0A0B1XUF5	unreviewed	Peptidase	1217052	Ralstonia sp. A12	181	PF13801	49..154
A0A0B1ZQN9	unreviewed	Heavy metal resistance protein	1348853	Novosphingobium malaysiense	147	PF13801	14..130
A0A0B1ZVC3	unreviewed	Heavy metal resistance protein	1348853	Novosphingobium malaysiense	146	PF13801	12..131
A0A0B2BYV1	unreviewed	Heavy metal resistance protein	1572751	Croceibacterium mercuriale	144	PF13801	12..128
A0A0B3BNY0	unreviewed	Signaling pathway modulator ZraP	706570	Pseudomonas flexibilis	154	PF13801	12..133
A0A0B3S547	unreviewed	Integral membrane protein	561184	Mameliella alba	177	PF13801	21..143
A0A0B4BFU6	unreviewed	Periplasmic heavy metal sensor	1577905	Tateyamaria sp. ANG-S1	149	PF13801	7..127
A0A0B4C4R2	unreviewed	Heavy metal resistance protein	172043	Brevundimonas nasdae	145	PF13801	11..129
A0A0B4CLC1	unreviewed	Integral membrane protein	1577896	Leisingera sp. ANG-Vp	161	PF13801	19..138
A0A0B4DSE6	unreviewed	Integral membrane protein	1002340	Leisingera sp. ANG1	163	PF13801	19..138
A0A0B4E1G2	unreviewed	Periplasmic heavy metal sensor	172043	Brevundimonas nasdae	170	PF13801	12..139
A0A0B4X560	unreviewed	Cpx-two-component system related protein	1041138	Rhizobium gallicum bv. gallicum R602sp	173	PF13801	73..161
A0A0B5E4W6	unreviewed	Integral membrane protein	1208324	Celeribacter indicus	179	PF13801	24..149
A0A0B5FC68	unreviewed	Periplasmic heavy metal sensor	93218	Pandoraea apista	186	PF13801	12..143
A0A0B6S275	unreviewed	Periplasmic heavy metal sensor	41899	Burkholderia plantarii	184	PF13801	35..146
A0A0B6S405	unreviewed	Periplasmic heavy metal sensor	41899	Burkholderia plantarii	160	PF13801	12..135
A0A0B6SBL9	unreviewed	Membrane-associated protein	41899	Burkholderia plantarii	171	PF13801	12..138
A0A0B6WXP1	unreviewed	P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein	454194	Pyrinomonas methylaliphatogenes	158	PF13801	11..133
A0A0B6WZN7	unreviewed	P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein	454194	Pyrinomonas methylaliphatogenes	172	PF13801	40..152
A0A0B8ZG41	unreviewed	Heavy metal resistance protein	48936	Novosphingobium subterraneum	146	PF13801	11..131
A0A0B8ZQB5	unreviewed	Heavy metal resistance protein	48936	Novosphingobium subterraneum	150	PF13801	10..128
A0A0B8ZSE4	unreviewed	Heavy metal resistance protein	48936	Novosphingobium subterraneum	145	PF13801	9..129
A0A0C1GN20	unreviewed	Periplasmic heavy metal sensor	1577895	Leisingera sp. ANG-M1	157	PF13801	19..139
A0A0C1IXU2	unreviewed	Periplasmic heavy metal sensor	1577902	Leisingera sp. ANG-M7	163	PF13801	19..138
A0A0C1J4R4	unreviewed	Periplasmic heavy metal sensor	1577903	Ruegeria sp. ANG-R	157	PF13801	18..136
A0A0C1JSF5	unreviewed	Periplasmic heavy metal sensor	1577904	Ruegeria sp. ANG-S4	159	PF13801	18..136
A0A0C1KYH4	unreviewed	Periplasmic heavy metal sensor	1349421	Flavihumibacter solisilvae	153	PF13801	16..135
A0A0C1NTA1	unreviewed	Periplasmic heavy metal sensor	1487949	Smithella sp. SC_K08D17	194	PF13801	48..158
A0A0C1Y299	unreviewed	Periplasmic heavy metal sensor	709839	Noviherbaspirillum autotrophicum	156	PF13801	12..133
A0A0C2CWC5	unreviewed	Periplasmic heavy metal sensor	215803	Enhygromyxa salina	107	PF13801	8..91
A0A0C2CZR7	unreviewed	Periplasmic heavy metal sensor	215803	Enhygromyxa salina	148	PF13801	11..131
A0A0C2E9B2	unreviewed	Signaling pathway modulator ZraP	226910	Pseudomonas batumici	159	PF13801	14..138
A0A0C2ECB1	unreviewed	Zinc resistance-associated protein	562	Escherichia coli	141	PF13801	8..121
A0A0C2UA94	unreviewed	Periplasmic heavy metal sensor	272627	Paramagnetospirillum magnetotacticum MS-1	162	PF13801	13..141
A0A0C2UXW1	unreviewed	Periplasmic heavy metal sensor	1539065	Sulfurovum sp. FS08-3	170	PF13801	66..153
A0A0C3I3D8	unreviewed	Heavy-metal resistance family protein	1572758	Thauera sp. SWB20	154	PF13801	12..130
A0A0C4Y8U5	unreviewed	Periplasmic heavy metal sensor	68895	Cupriavidus basilensis	161	PF13801	15..137
A0A0C5XBM4	unreviewed	Heavy metal resistance protein	484429	Sphingobium sp. (strain YBL2)	146	PF13801	11..131
A0A0C5XSX2	unreviewed	Heavy metal resistance protein	484429	Sphingobium sp. (strain YBL2)	151	PF13801	12..131
A0A0C9M3C8	unreviewed	DNA, contig: SP634	1219050	Sphingomonas paucimobilis NBRC 13935	147	PF13801	10..131
A0A0C9M672	unreviewed	DNA, contig: SP670	1219050	Sphingomonas paucimobilis NBRC 13935	146	PF13801	14..130
A0A0D0HBB8	unreviewed	CpxP protein	1542965	Burkholderia sp. MSHR3999	183	PF13801	16..143
A0A0D0PE88	unreviewed	Heavy-metal resistance	1123501	Wenxinia marina DSM 24838	166	PF13801	27..150
A0A0D1DAG7	unreviewed	Periplasmic heavy metal sensor	935700	Jannaschia aquimarina	142	PF13801	12..126
A0A0D1K065	unreviewed	Heavy metal resistance protein	152682	Sphingomonas melonis	146	PF13801	14..130
A0A0D2J1J6	unreviewed	Zinc resistance protein	1429043	Dethiosulfatarculus sandiegensis	180	PF13801	8..120
A0A0D6B3T3	unreviewed	Periplasmic heavy metal sensor	35806	Rhodovulum sulfidophilum	173	PF13801	23..146
A0A0D6JJ63	unreviewed	Putative membrane-associated protein	1608628	Candidatus Filomicrobium marinum	161	PF13801	27..147
A0A0D6MUA0	unreviewed	Periplasmic heavy metal sensor	887700	Acetobacter aceti NBRC 14818	156	PF13801	7..126
A0A0D6MWN4	unreviewed	Periplasmic heavy metal sensor	887700	Acetobacter aceti NBRC 14818	150	PF13801	17..138
A0A0D6N3B0	unreviewed	Periplasmic heavy metal sensor	146475	Acetobacter cibinongensis	182	PF13801	17..126
A0A0D6PH76	unreviewed	Periplasmic heavy metal sensor	1120923	Acidocella aminolytica 101 = DSM 11237	152	PF13801	13..139
A0A0D6PXP9	unreviewed	L27 domain-containing protein	1234669	Komagataeibacter europaeus NBRC 3261	172	PF13801	17..140
A0A0D6Q5U0	unreviewed	L27 domain-containing protein	1234668	Komagataeibacter xylinus NBRC 13693	173	PF13801	19..141
A0A0D6QDB4	unreviewed	Periplasmic heavy metal sensor	1300915	Anaeromyxobacter sp. PSR-1	152	PF13801	12..129
A0A0D6QGD1	unreviewed	Periplasmic heavy metal sensor	1300915	Anaeromyxobacter sp. PSR-1	211	PF13801	34..149
A0A0D6T445	unreviewed	Signaling pathway modulator ZraP	1604022	Pseudomonas sp. FeS53a	145	PF13801	13..135
A0A0D7DVY5	unreviewed	Signaling pathway modulator ZraP	316	Stutzerimonas stutzeri	154	PF13801	12..133
A0A0D7ENV1	unreviewed	Periplasmic heavy metal sensor	1076	Rhodopseudomonas palustris	151	PF13801	17..144
A0A0D7L593	unreviewed	Zinc resistance-associated protein	546	Citrobacter freundii	147	PF13801	7..122
A0A0D8J7I8	unreviewed	Periplasmic heavy metal sensor	1544798	Draconibacterium sediminis	176	PF13801	23..143
A0A0D8JBZ9	unreviewed	Periplasmic heavy metal sensor	1544798	Draconibacterium sediminis	162	PF13801	10..135
A0A0D8KDL2	unreviewed	Periplasmic heavy metal sensor	1368418	Rhizobium nepotum 39/7	149	PF13801	12..133
A0A0D8W4D3	unreviewed	Zinc resistance-associated protein	562	Escherichia coli	141	PF13801	8..120
A0A0E0Y930	unreviewed	Zinc resistance-associated protein	1133852	Escherichia coli O104:H4 (strain 2011C-3493)	141	PF13801	8..120
A0A0E1CQL1	unreviewed	Zinc resistance-associated protein	1420012	Klebsiella pneumoniae 30660/NJST258_1	145	PF13801	6..124
A0A0E1NT50	unreviewed	Zinc resistance-associated protein	360102	Yersinia pestis bv. Antiqua (strain Antiqua)	157	PF13801	12..132
A0A0E1WG82	unreviewed	Periplasmic heavy metal sensor	320371	Burkholderia pseudomallei 1710a	232	PF13801	59..191
A0A0E2LBA7	unreviewed	Zinc resistance-associated protein	1281200	Escherichia coli (strain UMEA 3162-1)	139	PF13801	8..121
A0A0E3YBT6	unreviewed	Periplasmic heavy metal sensor	573737	Pandoraea oxalativorans	189	PF13801	10..143
A0A0E9LSR2	unreviewed	Periplasmic heavy metal sensor	1236989	Geofilum rubicundum JCM 15548	177	PF13801	38..140
A0A0F0CNT0	unreviewed	Secreted protein	1609969	Candidatus Omnitrophus magneticus	142	PF13801	42..126
A0A0F0E9M5	unreviewed	Peptidase	1619951	Burkholderiaceae bacterium 26	184	PF13801	53..158
A0A0F2PF45	unreviewed	Pilus assembly protein	1629715	Peptococcaceae bacterium BRH_c8a	161	PF13801	19..122
A0A0F2QDC0	unreviewed	Heavy metal resistance protein	1629720	Hyphomonadaceae bacterium BRH_c29	144	PF13801	10..130
A0A0F2QMZ0	unreviewed	Zinc resistance-associated protein	1629720	Hyphomonadaceae bacterium BRH_c29	187	PF13801	22..141
A0A0F2R016	unreviewed	Zinc resistance-associated protein	1629708	Desulfatitalea sp. BRH_c12	184	PF13801	58..162
A0A0F2RBK3	unreviewed	Periplasmic heavy metal sensor	1629718	Rhodospirillaceae bacterium BRH_c57	148	PF13801	13..134
A0A0F2RFE2	unreviewed	Zinc resistance-associated protein	1629710	Hyphomonas sp. BRH_c22	168	PF13801	17..138
A0A0F2RXI9	unreviewed	Heavy metal resistance protein	1629709	Roseovarius sp. BRH_c41	167	PF13801	20..144
A0A0F3ITU2	unreviewed	Periplasmic heavy metal sensor	552518	Elstera litoralis	138	PF13801	2..123
A0A0F3L4B3	unreviewed	Periplasmic heavy metal sensor	1628191	Brevundimonas sp. KM4	170	PF13801	12..139
A0A0F3L938	unreviewed	Heavy metal resistance protein	1628191	Brevundimonas sp. KM4	146	PF13801	11..130
A0A0F4RLQ0	unreviewed	Periplasmic heavy metal sensor	579483	Loktanella sp. S4079	160	PF13801	18..136
A0A0F5K4U0	unreviewed	Zinc resistance-associated protein	28092	Robbsia andropogonis	163	PF13801	14..139
A0A0F5P8G6	unreviewed	Heavy metal resistance protein	133190	Sphingomonas sp. SRS2	144	PF13801	11..130
A0A0F6BA06	unreviewed	Zinc resistance-associated protein	588858	Salmonella typhimurium (strain 14028s / SGSC 2262)	151	PF13801	8..124
A0A0F6RIR2	unreviewed	Zinc resistance-associated protein	1261127	Citrobacter amalonaticus Y19	144	PF13801	9..120
A0A0F6SI84	unreviewed	Periplasmic heavy metal sensor	927083	Sandaracinus amylolyticus	165	PF13801	28..134
A0A0F7HB70	unreviewed	Zinc resistance-associated protein	47917	Serratia fonticola	150	PF13801	13..132
A0A0F7JC53	unreviewed	Zinc resistance-associated protein	90371	Salmonella typhimurium	151	PF13801	8..124
A0A0F7JR27	unreviewed	Heavy metal resistance protein	1123269	Sphingomonas sanxanigenens DSM 19645 = NX02	136	PF13801	3..121
A0A0F7JT28	unreviewed	Heavy metal resistance protein	1123269	Sphingomonas sanxanigenens DSM 19645 = NX02	145	PF13801	10..130
A0A0F7KWM9	unreviewed	Nickel and cobalt resistance protein CnrR	1267766	Croceibacterium atlanticum	144	PF13801	10..127
A0A0F7M8D7	unreviewed	Signaling pathway modulator ZraP	1620392	Spongiibacter sp. IMCC21906	157	PF13801	13..130
